city,n
London,22426
Athina,15556
Sydney,13821
Atlanta,13780
Rio de Janeiro,13688
Beijing,13602
Barcelona,12977
Los Angeles,12423
Seoul,12037
Munich,10304
Montreal,8641
Mexico City,8588
Helsinki,8270
Roma,8119
Tokyo,7702
Moskva,7191
Paris,7169
Berlin,6506
Amsterdam,4992
Sochi,4891
Melbourne,4829
Vancouver,4402
Torino,4382
Stockholm,4338
Antwerpen,4292
Salt Lake City,4109
Innsbruck,3639
Nagano,3605
Albertville,3436
Lillehammer,3160
Calgary,2639
Sarajevo,2134
Lake Placid,2098
Grenoble,1891
Sankt Moritz,1657
Sapporo,1655
Cortina d'Ampezzo,1307
St. Louis,1301
Squaw Valley,1116
Oslo,1088
Garmisch-Partenkirchen,895
Chamonix,460
